ZCTA5CE10,population,household_income,not_citizen_over_pop,n_killed_total,n_injured_total,n_killed_by_pop,n_injured_by_pop,year
33493,5491,622,0.120196685,0,1,0,0.000182116,2016
33493,5491,622,0.120196685,1,1,0.000182116,0.000182116,2015
33493,5491,622,0.120196685,1,1,0.000182116,0.000182116,2017
33493,5491,622,0.120196685,0,1,0,0.000182116,2014
33521,398,178,0,0,0,0,0,2016
33521,398,178,0,0,1,0,0.002512563,2017
33525,19867,7324,0.062113052,0,0,0,0,2015
33525,19867,7324,0.062113052,0,1,0,5.03E-05,2017
33525,19867,7324,0.062113052,0,0,0,0,2018
33525,19867,7324,0.062113052,0,2,0,0.000100669,2014
33525,19867,7324,0.062113052,1,1,5.03E-05,5.03E-05,2016
33544,25720,8831,0.043506998,0,1,0,3.89E-05,2015
33544,25720,8831,0.043506998,0,0,0,0,2016
33544,25720,8831,0.043506998,1,1,3.89E-05,3.89E-05,2014
33544,25720,8831,0.043506998,0,1,0,3.89E-05,2017
33514,2109,615,0.039829303,0,0,0,0,1970
33523,17489,6441,0.054491395,1,0,5.72E-05,0,2014
33523,17489,6441,0.054491395,2,2,0.000114358,0.000114358,2015
33523,17489,6441,0.054491395,2,4,0.000114358,0.000228715,2016
33523,17489,6441,0.054491395,0,3,0,0.000171536,2017
33543,25521,8672,0.053132714,0,0,0,0,1970
33566,20144,6770,0.064088562,0,1,0,4.96E-05,2014
33566,20144,6770,0.064088562,0,2,0,9.93E-05,2015
33566,20144,6770,0.064088562,1,0,4.96E-05,0,2016
33566,20144,6770,0.064088562,0,0,0,0,2017
33610,43494,15596,0.066560905,5,17,0.000114958,0.000390859,2015
33610,43494,15596,0.066560905,5,8,0.000114958,0.000183933,2017
33610,43494,15596,0.066560905,2,9,4.60E-05,0.000206925,2016
33610,43494,15596,0.066560905,8,9,0.000183933,0.000206925,2014
33610,43494,15596,0.066560905,2,7,4.60E-05,0.000160942,2018
33611,32192,14972,0.039140159,1,0,3.11E-05,0,2016
33611,32192,14972,0.039140159,0,1,0,3.11E-05,2017
33592,10463,4033,0.017776928,1,0,9.56E-05,0,2014
33592,10463,4033,0.017776928,1,1,9.56E-05,9.56E-05,2017
33592,10463,4033,0.017776928,0,1,0,9.56E-05,2016
33592,10463,4033,0.017776928,2,1,0.00019115,9.56E-05,2015
33605,17801,6989,0.083141397,2,22,0.000112353,0.001235886,2015
33605,17801,6989,0.083141397,4,12,0.000224706,0.000674119,2014
33605,17801,6989,0.083141397,3,5,0.00016853,0.000280883,2016
33605,17801,6989,0.083141397,6,10,0.00033706,0.000561766,2017
33605,17801,6989,0.083141397,0,1,0,5.62E-05,2018
33625,25981,10005,0.077864593,0,1,0,3.85E-05,2017
33625,25981,10005,0.077864593,0,0,0,0,2015
33625,25981,10005,0.077864593,0,0,0,0,2014
33625,25981,10005,0.077864593,0,2,0,7.70E-05,2016
33635,18068,6966,0.094255037,0,0,0,0,2016
33635,18068,6966,0.094255037,0,0,0,0,2015
33706,16195,8439,0.041494288,0,1,0,6.17E-05,2017
33706,16195,8439,0.041494288,0,0,0,0,2014
33706,16195,8439,0.041494288,0,0,0,0,2016
33713,32177,12700,0.049693881,0,4,0,0.000124312,2017
33713,32177,12700,0.049693881,4,2,0.000124312,6.22E-05,2014
33713,32177,12700,0.049693881,5,3,0.00015539,9.32E-05,2016
33713,32177,12700,0.049693881,0,2,0,6.22E-05,2018
33713,32177,12700,0.049693881,1,0,3.11E-05,0,2015
33715,7282,3756,0.04669047,0,0,0,0,1970
33756,32992,13010,0.051467022,1,1,3.03E-05,3.03E-05,2014
33756,32992,13010,0.051467022,2,1,6.06E-05,3.03E-05,2016
33756,32992,13010,0.051467022,2,2,6.06E-05,6.06E-05,2017
33756,32992,13010,0.051467022,0,1,0,3.03E-05,2018
33756,32992,13010,0.051467022,2,2,6.06E-05,6.06E-05,2015
33764,26039,11225,0.067552517,2,0,7.68E-05,0,2017
33764,26039,11225,0.067552517,1,0,3.84E-05,0,2016
33764,26039,11225,0.067552517,1,1,3.84E-05,3.84E-05,2015
33785,5546,2982,0.044536603,1,1,0.00018031,0.00018031,2015
33801,35570,12373,0.038993534,1,3,2.81E-05,8.43E-05,2014
33801,35570,12373,0.038993534,0,1,0,2.81E-05,2015
33801,35570,12373,0.038993534,6,4,0.000168681,0.000112454,2016
33801,35570,12373,0.038993534,1,0,2.81E-05,0,2018
33801,35570,12373,0.038993534,2,0,5.62E-05,0,2017
33809,29666,10929,0.028450078,0,0,0,0,2014
33825,25425,8785,0.0779941,0,3,0,0.000117994,2016
33825,25425,8785,0.0779941,2,7,7.87E-05,0.00027532,2017
33825,25425,8785,0.0779941,0,0,0,0,2018
33825,25425,8785,0.0779941,0,0,0,0,2015
33194,7867,1453,0.204906572,0,0,0,0,2015
33194,7867,1453,0.204906572,0,0,0,0,2017
33305,12369,6568,0.057239874,0,0,0,0,2016
33305,12369,6568,0.057239874,0,2,0,0.000161695,2014
33305,12369,6568,0.057239874,0,1,0,8.08E-05,2017
33827,2834,839,0.028228652,0,0,0,0,2017
33850,7818,3176,0.049756971,1,0,0.00012791,0,2015
33850,7818,3176,0.049756971,1,0,0.00012791,0,2017
33872,15982,7202,0.057251908,1,1,6.26E-05,6.26E-05,2014
33872,15982,7202,0.057251908,0,0,0,0,2016
33877,464,112,0,0,0,0,0,1970
33890,4795,1394,0.079666319,0,0,0,0,1970
